Identifier,Title,Description,Currency,Amount Awarded,Award Date,Recipient Org:Identifier,Recipient Org:Name,Funding Org:Identifier,Funding Org:Name,Grant Programme:Title,Publisher:Prefix,Publisher:Name,Licence,Licence Name,_recipient_id,_recipient_name,_recipient_type,_recipient_income,_recipient_is_grantmaker,_may_be_regranted,Location:ladcd,Location:ladnm,Location:utlacd,Location:utlanm,Location:rgncd,Location:rgnnm,Location:ctrycd,Location:ctrynm,Location:latitude,Location:longitude,Location:source,_last_updated
360G-WCVA-24553,Third Sector Resilience Fund for Wales,Third Sector Resilience Fund for Wales,GBP,75000,01/04/2020,360G-WCVA-0010N00004M8oC6QAJ,Hope Rescue,GB-CHC-218093,Wales Council for Voluntary Action,Third Sector Resilience Fund for Wales (COVID),360G-WCVA,Wales Council for Voluntary Action,https://creativecommons.org/licenses/by/4.0/,Creative Commons Attribution 4.0 International (CC BY 4.0),,,,,FALSE,FALSE,W06000016,Rhondda Cynon Taf,W06000016,Rhondda Cynon Taf,,,W92000004,Wales,51.53439008,-3.443002547,recipientOrganizationPostcode,03:24.7
360G-WCVA-24554,Third Sector Resilience Fund for Wales,Third Sector Resilience Fund for Wales,GBP,75000,01/04/2020,360G-WCVA-0010N00004M8mnDQAR,Children in Wales Charity,GB-CHC-218093,Wales Council for Voluntary Action,Third Sector Resilience Fund for Wales (COVID),360G-WCVA,Wales Council for Voluntary Action,https://creativecommons.org/licenses/by/4.0/,Creative Commons Attribution 4.0 International (CC BY 4.0),,,,,FALSE,FALSE,W06000015,Cardiff,W06000015,Cardiff,,,W92000004,Wales,51.48161745,-3.171499242,recipientOrganizationPostcode,03:24.7
360G-WCVA-24555,Third Sector Resilience Fund for Wales,Third Sector Resilience Fund for Wales,GBP,5000,01/04/2020,360G-WCVA-0010N00004KBVgPQAX,Glaslyn Wildlife,GB-CHC-218093,Wales Council for Voluntary Action,Third Sector Resilience Fund for Wales (COVID),360G-WCVA,Wales Council for Voluntary Action,https://creativecommons.org/licenses/by/4.0/,Creative Commons Attribution 4.0 International (CC BY 4.0),,,,,FALSE,FALSE,W06000002,Gwynedd,W06000002,Gwynedd,,,W92000004,Wales,52.94054406,-4.140563473,recipientOrganizationPostcode,03:24.7
360G-WCVA-24556,Third Sector Resilience Fund for Wales,Third Sector Resilience Fund for Wales,GBP,70000,01/04/2020,360G-WCVA-0010N00004M8nFlQAJ,Swansea Young Men's Christian Association (YMCA),GB-CHC-218093,Wales Council for Voluntary Action,Third Sector Resilience Fund for Wales (COVID),360G-WCVA,Wales Council for Voluntary Action,https://creativecommons.org/licenses/by/4.0/,Creative Commons Attribution 4.0 International (CC BY 4.0),,,,,FALSE,FALSE,W06000011,Swansea,W06000011,Swansea,,,W92000004,Wales,51.619662,-3.951185762,recipientOrganizationPostcode,03:24.7
360G-WCVA-24557,Third Sector Resilience Fund for Wales,Third Sector Resilience Fund for Wales,GBP,75000,01/04/2020,360G-WCVA-0014G00002PDXZJQA5,Cardiff Cleaning t/a App,GB-CHC-218093,Wales Council for Voluntary Action,Third Sector Resilience Fund for Wales (COVID),360G-WCVA,Wales Council for Voluntary Action,https://creativecommons.org/licenses/by/4.0/,Creative Commons Attribution 4.0 International (CC BY 4.0),,,,,FALSE,FALSE,W06000016,Rhondda Cynon Taf,W06000016,Rhondda Cynon Taf,,,W92000004,Wales,51.5446989,-3.265372009,recipientOrganizationPostcode,03:24.7
360G-phf-35365,Covid-19 Emergency Funding,"Voices from Care brings young people together throughout Wales, who are, or have been looked after. The organisation aims to provide opportunities, improve the conditions of being in care, promote the view of young people and protect the interests of young people in care. This grant provides support to aid the organisation in dealing with the challenges posed by Covid-19.",GBP,20000,03/04/2020,GB-CHC-1108430,Voices from Care Cymru,GB-CHC-1102927,Paul Hamlyn Foundation,Other grants and programmes\COVID19 Emergency Fund,360G-phf,Paul Hamlyn Foundation,https://creativecommons.org/licenses/by/4.0/,Creative Commons Attribution 4.0 International (CC BY 4.0),GB-CHC-1108430,Voices From Care Cymru,registered-charity,659405,FALSE,FALSE,W06000015,Cardiff,W06000015,Cardiff,,,W92000004,Wales,51.48681897,-3.16477224,recipientOrganizationPostcode,03:24.7
360G-TrussellTrust-CVNewp2,Grant to Newport Foodbank,CV emergency costs: salary costs,GBP,2310,03/04/2020,GB-CHC-516297,New Life Trust,GB-CHC-1110522,the Trussell Trust,Covid19 Emergency Grants,360G-TrussellTrust,the Trussell Trust,https://creativecommons.org/licenses/by/4.0/,Creative Commons Attribution 4.0 International (CC BY 4.0),GB-CHC-516297,NEW LIFE TRUST,registered-charity,591961,FALSE,FALSE,W06000022,Newport,W06000022,Newport,,,W92000004,Wales,51.60475221,-3.002653845,recipientOrganizationPostcode,03:24.7
360G-CheshireCF-A546763,Barnies 'Garden Gate' project,"We wish to use our garden beds at Barnies Community Hub to grow quick growing salad leaves, lettuces, radishes, spring onions, mint etc, as well as early and main crops of potatoes, onions, carrots etc. We wish to get some fresh salad produce out to as many people as we can, to help them stay well, and to help us to stay connected and show that we are working to support all of our local residents in Crewe St Barnabas Ward. Some salad produce has already started growing and this we can harvest reasonably quickly and put this into 'Barnies Salad and Veg Bags' for distribution to our most vulnerable participants and families, However, we need to replenish our beds with new plants, seeds, potatoes, plugs etc, and and increase crop amounts as much as we can to reach out to members of our local community.",GBP,1500,06/04/2020,GB-COH-05711204,Enterprise & Education Alliance Ltd,GB-CHC-1143711,Cheshire Community Foundation,NET Covid-19 Response Ph 1,360G-cheshirecf,Cheshire Community Foundation,https://creativecommons.org/licenses/by/4.0/,Creative Commons Attribution 4.0 International (CC BY 4.0),GB-COH-05711204,ENTERPRISE & EDUCATION ALLIANCE LIMITED,registered-company,,FALSE,FALSE,W06000006,Wrexham,W06000006,Wrexham,,,W92000004,Wales,52.95974776,-2.769937619,beneficiaryLocation,03:24.7
360G-TrussellTrust-CVBlwd1,Grant to Blackwood & District Foodbank,"CV emergency costs: delivery costs, extra utility costs",GBP,720,06/04/2020,GB-CHC-1175604,Blackwood and District Foodbank,GB-CHC-1110522,the Trussell Trust,Covid19 Emergency Grants,360G-TrussellTrust,the Trussell Trust,https://creativecommons.org/licenses/by/4.0/,Creative Commons Attribution 4.0 International (CC BY 4.0),GB-CHC-1175604,BLACKWOOD AND DISTRICT FOODBANK,registered-charity,7729,FALSE,FALSE,W06000018,Caerphilly,W06000018,Caerphilly,,,W92000004,Wales,51.66777861,-3.203844344,recipientOrganizationPostcode,03:24.7
360G-tudortrust-93392,Grant to Ponthafren Association (COVID19 Grant),as emergency funding to help respond to increased referrals and wider community need in mid-Powys during the Coronavirus pandemic,GBP,2000,06/04/2020,GB-CHC-1035326,Ponthafren Association,GB-CHC-1105580,The Tudor Trust,,360G-tudortrust,The Tudor Trust,https://creativecommons.org/licenses/by/4.0/,Creative Commons Attribution 4.0 International (CC BY 4.0),GB-CHC-1035326,PONTHAFREN ASSOCIATION,registered-charity,352987,FALSE,FALSE,W06000023,Powys,W06000023,Powys,,,W92000004,Wales,,,beneficiaryLocation,03:24.7
360G-CAF-7266,Grant to Canolfan Pentre CIO,Grant to Canolfan Pentre CIO to support the organisation through COVID19,GBP,5000,08/04/2020,GB-CHC-1166716,Canolfan Pentre CIO,GB-CHC-268369,CAF,CAF Coronavirus Emergency Fund,360G-CAF,CAF,https://creativecommons.org/licenses/by/4.0/,Creative Commons Attribution 4.0 International (CC BY 4.0),GB-CHC-1166716,CANOLFAN PENTRE CIO,registered-charity,148472,FALSE,FALSE,W06000016,Rhondda Cynon Taf,W06000016,Rhondda Cynon Taf,,,W92000004,Wales,51.64312,-3.50013,recipientOrganizationLocation,03:24.7
360G-CAF-7473,Grant to Cardiff Foodbank,Grant to Cardiff Foodbank to support the organisation through COVID19,GBP,8000,08/04/2020,GB-CHC-1139456,Cardiff Foodbank,GB-CHC-268369,CAF,CAF Coronavirus Emergency Fund,360G-CAF,CAF,https://creativecommons.org/licenses/by/4.0/,Creative Commons Attribution 4.0 International (CC BY 4.0),GB-CHC-1139456,CARDIFF FOODBANK,registered-charity,146884,FALSE,FALSE,W06000015,Cardiff,W06000015,Cardiff,,,W92000004,Wales,51.483639,-3.14177,recipientOrganizationLocation,03:24.7
360G-TrussellTrust-CVVale2,Grant to Vale Foodbank,CV emergency costs: salary costs,GBP,2868,08/04/2020,GB-CHC-1100502,The Coastlands Family Church,GB-CHC-1110522,the Trussell Trust,Covid19 Emergency Grants,360G-TrussellTrust,the Trussell Trust,https://creativecommons.org/licenses/by/4.0/,Creative Commons Attribution 4.0 International (CC BY 4.0),GB-CHC-1100502,THE COASTLANDS FAMILY CHURCH,registered-charity,486200,FALSE,FALSE,W06000014,Vale of Glamorgan,W06000014,Vale of Glamorgan,,,W92000004,Wales,51.42131918,-3.274085222,recipientOrganizationPostcode,03:24.7
360G-CAF-7401,Grant to Greenacres Rescue,Grant to Greenacres Rescue to support the organisation through COVID19,GBP,5000,09/04/2020,GB-CHC-1180916,Greenacres Rescue,GB-CHC-268369,CAF,CAF Coronavirus Emergency Fund,360G-CAF,CAF,https://creativecommons.org/licenses/by/4.0/,Creative Commons Attribution 4.0 International (CC BY 4.0),GB-CHC-1180916,GREENACRES RESCUE LIMITED,registered-charity,416982,FALSE,FALSE,W06000009,Pembrokeshire,W06000009,Pembrokeshire,,,W92000004,Wales,51.768501,-5.10248,recipientOrganizationLocation,03:24.7
360G-phf-35347,Covid-19 Emergency Funding,Tros Gynnal is a charity working across Wales to promote and realise children and young people’s rights and enable them to have a voice. This grant provides support to aid the organisation in dealing with the challenges posed by Covid-19.,GBP,20000,09/04/2020,GB-CHC-1099878,Tros Gynnal,GB-CHC-1102927,Paul Hamlyn Foundation,Other grants and programmes\COVID19 Emergency Fund,360G-phf,Paul Hamlyn Foundation,https://creativecommons.org/licenses/by/4.0/,Creative Commons Attribution 4.0 International (CC BY 4.0),GB-CHC-1099878,TROS GYNNAL PLANT,registered-charity,2188584,FALSE,FALSE,W06000015,Cardiff,W06000015,Cardiff,,,W92000004,Wales,51.49153347,-3.18572179,recipientOrganizationPostcode,03:24.7
360G-tnlcomfund-0045277967,Dr M'z LGBTQ+ Group,Carmarthen Youth Project has been awarded £19863 to start a youth group for people who identify as LGBTQ+ and to adapt and enhance all their services for all young people as they respond to COVID-19. Dyfarnwyd £19863 i Brosiect Ieuenctid Caerfyrddin i gychwyn grp ieuenctid ar gyfer pobl sy'n nodi eu bod yn LGBTQ + ac i addasu a gwella eu holl wasanaethau ar gyfer yr holl bobl ifanc wrth iddynt ymateb i COVID-19.,GBP,10000,15/04/2020,GB-CHC-1124727,Carmarthen Youth Project,GB-GOR-PB188,The National Lottery Community Fund,National Lottery Awards for All Wales,360G-tnlcomfund,The National Lottery Community Fund,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence 3.0 (United Kingdom),GB-CHC-1124727,CARMARTHEN YOUTH PROJECT,registered-charity,153869,FALSE,FALSE,W06000010,Carmarthenshire,W06000010,Carmarthenshire,,,W92000004,Wales,51.847012,-4.34824,recipientOrganizationLocation,03:24.7
360G-tnlcomfund-0045279092,COVID-19 - Together We Thrive,Together We Thrive Women’s Group on Anglesey will provide support training and social meetings for women affected by domestic abuse. £8500 will fund volunteer training website marketing and venue hire Bydd Together We Thrive Women’s Group ar Ynys Môn yn darparu cefnogaeth hyfforddiant a chyfarfodydd cymdeithasol i ferched y mae cam-drin domestig yn effeithio arnynt. Bydd £8500 yn ariannu hyfforddiant gwirfoddolwyr gwefan marchnata a llogi lleoliadau.,GBP,8500,15/04/2020,360g-tnlcomfung-org-TogetherWeThriveWomen'sGroup,Together We Thrive Women's Group,GB-GOR-PB188,The National Lottery Community Fund,National Lottery Awards for All Wales,360G-tnlcomfund,The National Lottery Community Fund,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence 3.0 (United Kingdom),,,,,FALSE,FALSE,W06000001,Isle of Anglesey,W06000001,Isle of Anglesey,,,W92000004,Wales,53.377029,-4.34023,recipientOrganizationLocation,03:24.7
360G-tnlcomfund-0045279540,COVID-19 - Tredegar Community Taskforce,Hearts Magic in Tredegar will provide help with shopping and essential supplies for older people single parent families and vulnerable individuals who are isolated due to the COVID-19 outbreak. £10000 will fund support workers volunteer expenses safety and cleaning items and utilities. Bydd Hearts Magic yn Tredegar yn darparu help gyda siopa a chyflenwadau hanfodol i bobl hn teuluoedd rhiant sengl ac unigolion bregus sydd wedi'u hynysu oherwydd yr achosion o COVID-19. Bydd £10000 yn ariannu gweithwyr cymorth treuliau gwirfoddolwyr eitemau diogelwch a glanhau a chyfleustodau.,GBP,10000,15/04/2020,GB-CHC-1185985,Hearts Magic,GB-GOR-PB188,The National Lottery Community Fund,National Lottery Awards for All Wales,360G-tnlcomfund,The National Lottery Community Fund,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence 3.0 (United Kingdom),GB-CHC-1185985,HEARTS MAGIC,registered-charity,,FALSE,FALSE,W06000019,Blaenau Gwent,W06000019,Blaenau Gwent,,,W92000004,Wales,51.7612,-3.243,recipientOrganizationLocation,03:24.7
360G-tnlcomfund-0045279774,Turn Up The Heat!,Ffin Dance in Blaenau Gwent has received a grant to upgrade their heating system and provide online classes as a result of the COVID-19 outbreak. Mae Ffin Dance ym Mlaenau Gwent wedi derbyn grant i uwchraddio eu system wresogi a darparu dosbarthiadau ar-lein o ganlyniad i'r achosion o COVID-19.,GBP,10000,15/04/2020,GB-CHC-1129663,FFIN DANCE,GB-GOR-PB188,The National Lottery Community Fund,National Lottery Awards for All Wales,360G-tnlcomfund,The National Lottery Community Fund,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence 3.0 (United Kingdom),GB-CHC-1129663,FFIN DANCE,registered-charity,17019,FALSE,FALSE,W06000019,Blaenau Gwent,W06000019,Blaenau Gwent,,,W92000004,Wales,51.80389,-3.20229,recipientOrganizationLocation,03:24.7
360G-tnlcomfund-0045279821,COVID-19 - Pathways and walkways,St Marcella Marchweil Parochial Church Council in Wrexham will repair and renew the pathways around the church for the community to use for gentle exercise.  £10000 will fund a village party and works to pathway. Bydd Cyngor Eglwys Plwyf St Marcella Marchweil yn Wrecsam yn atgyweirio ac yn adnewyddu'r llwybrau o amgylch yr eglwys i'r gymuned eu defnyddio ar gyfer ymarfer corff ysgafn. Bydd £10000 yn ariannu parti pentref ac yn gweithio ar lwybr.,GBP,10000,15/04/2020,360g-tnlcomfung-org-StMarcellaMarchwielParochialChurchCouncil,St Marcella Marchwiel Parochial Church Council,GB-GOR-PB188,The National Lottery Community Fund,National Lottery Awards for All Wales,360G-tnlcomfund,The National Lottery Community Fund,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence 3.0 (United Kingdom),,,,,FALSE,FALSE,W06000006,Wrexham,W06000006,Wrexham,,,W92000004,Wales,53.000702,-2.96134,recipientOrganizationLocation,03:24.7
360G-tnlcomfund-0045279893,COVID-19 - Soundtrack,Live Music Now Wales in Cardiff will provide online support for children and young people experiencing mental health issues with one-to-one support and access to live musical performances. This will improve their mental health and wellbeing and increase confidence during and after the COVID-19 outbreak.  £9900 will fund sessional workers project management website musicians’ fees and video editing. Bydd Live Music Now Wales yng Nghaerdydd yn darparu cefnogaeth ar-lein i blant a phobl ifanc sy'n profi problemau iechyd meddwl gyda chefnogaeth un i un a mynediad at berfformiadau cerddorol byw. Bydd hyn yn gwella eu hiechyd meddwl a'u lles ac yn cynyddu hyder yn ystod ac ar ôl yr achosion o COVID-19. Bydd £9900 yn ariannu gweithwyr sesiynol rheoli prosiectau gwefan ffioedd cerddorion a golygu fideo.,GBP,9900,15/04/2020,GB-CHC-273596,Live Music Now Wales,GB-GOR-PB188,The National Lottery Community Fund,National Lottery Awards for All Wales,360G-tnlcomfund,The National Lottery Community Fund,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence 3.0 (United Kingdom),GB-CHC-273596,LIVE MUSIC NOW LIMITED,registered-charity,953028,FALSE,FALSE,W06000015,Cardiff,W06000015,Cardiff,,,W92000004,Wales,51.46233,-3.15867,recipientOrganizationLocation,03:24.7
360G-tnlcomfund-0045279907,COVID-19 - Craig y Don Community Centre Sustainability,Craig y Don Community Centre in Llandudno will provide a facility for the whole community to use for meetings social groups arts and sport activities and events. £10000 will fund utilities wages and licenses. Bydd Canolfan Gymunedol Craig y Don yn Llandudno yn darparu cyfleuster i'r gymuned gyfan ei ddefnyddio ar gyfer cyfarfodydd grwpiau cymdeithasol gweithgareddau celf a chwaraeon a digwyddiadau. Bydd £10000 yn ariannu cyfleustodau cyflogau a thrwyddedau.,GBP,10000,15/04/2020,GB-CHC-1053916,Craig y Don Community Centre,GB-GOR-PB188,The National Lottery Community Fund,National Lottery Awards for All Wales,360G-tnlcomfund,The National Lottery Community Fund,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence 3.0 (United Kingdom),GB-CHC-1053916,THE CRAIG-Y-DON COMMUNITY CENTRE,registered-charity,68714,FALSE,FALSE,W06000003,Conwy,W06000003,Conwy,,,W92000004,Wales,53.316662,-3.80187,recipientOrganizationLocation,03:24.7
360G-tnlcomfund-0045279916,COVID-19 - The Shared Plate Emergency Kitchen,The Shared Plate CIC in Swansea will delivery daily nutritious meals to homeless people and vulnerable individuals who are  self-isolating due to the COVID-19 outbreak. £10000 will fund staffing costs food costs equipment administration and marketing. Bydd The Shared Plate yn Abertawe yn dosbarthu prydau maethlon bob dydd i bobl ddigartref ac unigolion agored i niwed sy'n hunan-ynysu oherwydd yr achosion o COVID-19. Bydd £10000 yn ariannu costau staffio costau bwyd offer gweinyddiaeth a marchnata.,GBP,10000,15/04/2020,GB-COH-11851763,The Shared Plate CIC,GB-GOR-PB188,The National Lottery Community Fund,National Lottery Awards for All Wales,360G-tnlcomfund,The National Lottery Community Fund,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence 3.0 (United Kingdom),GB-COH-11851763,THE SHARED PLATE CIC,registered-company,,FALSE,FALSE,W06000011,Swansea,W06000011,Swansea,,,W92000004,Wales,51.571041,-3.99633,recipientOrganizationLocation,03:24.7
360G-tnlcomfund-0045279943,COVID-19 - Deaf Resilience _Deaf Support,Cardiff Deaf Centre will employ a digital communications worker to ensure online contact is maintained among the Deaf community during the COVID-19 outbreak and beyond by teaching them new skills and increasing their use of digital technology. £9738 will fund staff costs and digital app subscriptions and licences. Bydd Canolfan Fyddar Caerdydd yn cyflogi gweithiwr cyfathrebu digidol i sicrhau bod cyswllt ar-lein yn cael ei gynnal ymhlith y gymuned Fyddar yn ystod yr achosion o COVID-19 a thu hwnt trwy ddysgu sgiliau newydd iddynt a chynyddu eu defnydd o dechnoleg ddigidol. Bydd £9738 yn ariannu costau staff a thanysgrifiadau a thrwyddedau ap digidol.,GBP,9738,15/04/2020,GB-CHC-1156719,Cardiff Deaf Centre,GB-GOR-PB188,The National Lottery Community Fund,National Lottery Awards for All Wales,360G-tnlcomfund,The National Lottery Community Fund,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence 3.0 (United Kingdom),GB-CHC-1156719,CARDIFF DEAF CENTRE,registered-charity,43975,FALSE,FALSE,W06000015,Cardiff,W06000015,Cardiff,,,W92000004,Wales,51.491909,-3.16573,recipientOrganizationLocation,03:24.7
360G-tnlcomfund-0045280361,COVID-19 - Paradise Now,Inc Music Ltd in Bridgend will run workshops to support young men going through mental health issues. £9978 will fund a project manager volunteer training equipment administration and volunteer expenses. Bydd Inc Music Ltd ym Mhen-y-bont ar Ogwr yn cynnal gweithdai i gefnogi dynion ifanc sy'n mynd trwy faterion iechyd meddwl. Bydd £9978 yn ariannu rheolwr prosiect hyfforddiant gwirfoddolwyr offer gweinyddiaeth a threuliau,GBP,9978,15/04/2020,GB-COH-11107455,Inc Music Ltd,GB-GOR-PB188,The National Lottery Community Fund,National Lottery Awards for All Wales,360G-tnlcomfund,The National Lottery Community Fund,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence 3.0 (United Kingdom),GB-COH-11107455,INC COMMUNITY LIMITED,registered-company,,FALSE,FALSE,W06000013,Bridgend,W06000013,Bridgend,,,W92000004,Wales,51.495392,-3.57597,recipientOrganizationLocation,03:24.7
